n,t
1,3.842000296572223e-06
1,7.123999239411205e-06
1,2.3749998945277184e-06
1,6.775000656489283e-06
1,6.774000212317333e-06
2,9.568999303155579e-06
2,7.681999704800546e-06
2,6.705000487272628e-06
2,7.05399907019455e-06
2,4.679999619838782e-06
3,9.98799987428356e-06
3,9.567998858983628e-06
3,5.7969991758000106e-06
3,7.19399940862786e-06
4,9.359000614495017e-06
4,9.916999260894954e-06
5,1.2362001143628731e-05
5,1.634299951547291e-05
6,1.3479999324772507e-05
6,2.472400046826806e-05
7,1.6762000086600892e-05
7,2.2698000975651667e-05
8,2.1511001250473782e-05
9,2.2348998754750937e-05
10,2.7727000997401774e-05
11,3.3385000278940424e-05
12,3.359400034241844e-05
13,3.904100049112458e-05
14,5.056500049249735e-05
16,5.475599937199149e-05
17,6.201900032465346e-05
19,7.940900104586035e-05
21,6.767600098100957e-05
23,7.58480000513373e-05
26,7.682499926886521e-05
28,8.597499981988221e-05
31,9.34469990170328e-05
34,0.0001090219993784558
37,0.00016300900097121485
41,0.00014834200010227505
45,0.00016245000006165355
50,0.00019639300080598332
55,0.00021909200040681753
60,0.0002170670013583731
66,0.0002411620007478632
73,0.0002715420014283154
80,0.0002862090004782658
88,0.0003401260000828188
97,0.0003655479995359201
107,0.0004004700003861217
117,0.000419885000155773
129,0.0005000629989808658
142,0.0005521639996004524
156,0.0005962340001133271
172,0.0006625129990425194
189,0.0007525389992224518
208,0.0008522719999746187
229,0.0009455100007471628
252,0.0010546020002948353
277,0.0012124429995310493
304,0.0013160170001356164
335,0.0014450140006374568
368,0.0016242959991359385
405,0.001825298999392544
446,0.002040130999375833
490,0.002266136001708219
539,0.0025371200008521555
593,0.0028305239993642317
653,0.003140756998618599
718,0.003546325000570505
790,0.004102401000636746
869,0.004376458000479033
956,0.004864229000304476
1051,0.005448728999908781
1156,0.00604880500031868
1272,0.006846250998933101
1399,0.007613526000568527
1539,0.008455600998786394
1693,0.009515719999399153
1862,0.010564735001025838
1,3.2406000173068605e-05
1,2.4450000637443736e-06
1,1.8859991541830823e-06
1,2.4450000637443736e-06
1,2.373999450355768e-06
2,6.2159997469279915e-06
2,4.191000698483549e-06
2,4.399998942972161e-06
2,4.679999619838782e-06
2,4.818999514100142e-06
3,6.145999577711336e-06
3,1.6412999684689566e-05
3,6.145999577711336e-06
3,6.774998837499879e-06
4,1.0476998795638792e-05
4,8.520000847056508e-06
5,1.7948999811778776e-05
5,1.4248000297811814e-05
6,1.1244999768678099e-05
6,1.648299985390622e-05
7,1.5505000192206353e-05
7,1.2780999895767309e-05
8,1.7529999240650795e-05
9,2.193100044678431e-05
10,2.2767999325878918e-05
11,2.626000059535727e-05
12,3.0800001695752144e-05
13,3.345400000398513e-05
14,3.4919999961857684e-05
16,4.141599856666289e-05
17,5.685099858965259e-05
19,4.8050998884718865e-05
21,5.524500011233613e-05
23,6.320600004983135e-05
26,7.333300163736567e-05
28,8.199399962904863e-05
31,9.442500049772207e-05
34,0.00010455199844727758
37,0.00012718099969788454
41,0.00012299099944357295
45,0.0001447810009267414
50,0.00016391700046369806
55,0.00018228500084660482
60,0.000224260000322829
66,0.0002192310003010789
73,0.0002780380000331206
80,0.00030709100064996164
88,0.00037930800135654863
97,0.0003929960003006272
107,0.0004532689999905415
117,0.0004902849996142322
129,0.000520527000844595
142,0.0005297450006764848
156,0.0006096430006437004
172,0.0007057450002321275
189,0.0007649700000911253
208,0.0008512240001437021
229,0.0010650770000211196
252,0.0010780690008687088
277,0.0013060300007055048
304,0.0012963219996890984
335,0.0014607979992433684
368,0.0015953120000631316
405,0.0017988990002777427
446,0.002113394000843982
490,0.002242880000267178
539,0.0024897679995774524
593,0.002937729999757721
653,0.0031947449988365406
718,0.0035452079991955543
790,0.00392919499972777
869,0.0043041720000474015
956,0.004830355001104181
1051,0.005384475000028033
1156,0.006225712999366806
1272,0.006742886998836184
1399,0.0074333360007585725
1539,0.008298109998577274
1693,0.009412983999936841
1862,0.010396558000138612
1,4.74900116387289e-06
1,1.8860009731724858e-06
1,1.955000698217191e-06
1,1.8860009731724858e-06
1,1.8160008039558306e-06
2,9.987001249101013e-06
2,4.679000994656235e-06
2,4.260000423528254e-06
2,6.145999577711336e-06
2,5.238000085228123e-06
3,1.040600000123959e-05
3,9.149000106845051e-06
3,9.638000847189687e-06
3,1.0894998922594823e-05
4,1.2152000635978766e-05
4,1.040600000123959e-05
5,1.759999940986745e-05
5,1.4805998944211751e-05
6,2.6190000426140614e-05
6,1.8857001123251393e-05
7,2.262800080643501e-05
7,2.2278998585534282e-05
8,2.8075999580323696e-05
9,3.1847999707679264e-05
10,3.869200008921325e-05
11,3.617799848143477e-05
12,4.7003000872791745e-05
13,4.728299973066896e-05
14,5.0635000661714e-05
16,5.657099973177537e-05
17,7.060899952193722e-05
19,7.361300049524289e-05
21,0.0001076259995897999
23,8.995499956654385e-05
26,9.680000039224979e-05
28,0.00010769500113383401
31,0.00011230400014028419
34,0.00012941599925397895
37,0.0001343750009255018
41,0.00014429200018639676
45,0.00015958699987095315
50,0.0002037270005530445
55,0.0002227929999207845
60,0.0002263549995404901
66,0.0002958469995064661
73,0.00028285699954722077
80,0.00034180300099251326
88,0.0003468310005700914
97,0.0004200250004942063
107,0.00042114200005016755
117,0.0004262410002411343
129,0.0005125640000187559
142,0.000568437000765698
156,0.0006203989996720338
172,0.0006887039999128319
189,0.000741014999221079
208,0.0009077249997062609
229,0.0009700939990580082
252,0.0011713759995473083
277,0.0012930400007462595
304,0.001297649001571699
335,0.0014409630002774065
368,0.0015810639997653197
405,0.0017931019992829533
446,0.002211800001532538
490,0.0022319839990814216
539,0.0024943080006778473
593,0.003023773999302648
653,0.003201937999619986
718,0.0034783699993568007
790,0.0038675249998050276
869,0.004351384000983671
956,0.004813664001630968
1051,0.00556676100131881
1156,0.006115992000559345
1272,0.006729894999807584
1399,0.007406865999655565
1539,0.008335473999977694
1693,0.009365353000248433
1862,0.010340964001443353
1,7.2639995778445154e-06
1,2.373999450355768e-06
1,1.9559993233997375e-06
1,1.9559993233997375e-06
1,2.4450000637443736e-06
2,1.5366000297944993e-05
2,4.330000592744909e-06
2,7.1930007834453136e-06
2,4.74900116387289e-06
2,6.0060010582674295e-06
3,9.917999705066904e-06
3,1.1383999662939459e-05
3,9.568999303155579e-06
3,1.0965999535983428e-05
4,4.5466000301530585e-05
4,1.648199940973427e-05
5,2.067300010821782e-05
5,2.626000059535727e-05
6,2.137099909305107e-05
6,1.7461001334595494e-05
7,2.5631999960751273e-05
7,2.4794000637484714e-05
8,3.052099964406807e-05
9,3.149800068058539e-05
10,3.499000013107434e-05
11,3.149899930576794e-05
12,4.78410001960583e-05
13,5.3918000048724934e-05
14,8.143499871948734e-05
16,5.8875999457086436e-05
17,6.488300095952582e-05
19,7.989799996721558e-05
21,9.246900117432233e-05
23,9.687000056146644e-05
26,0.00010476200077391695
28,0.00013556100020650774
31,0.00011712400009855628
34,0.0001236889984284062
37,0.0001308129994868068
41,0.00018165700021199882
45,0.00017690800086711533
50,0.0001819360004446935
55,0.00020721900000353344
60,0.00022404999981517904
66,0.0002480750008544419
73,0.00029507799990824424
80,0.000275104001048021
88,0.0003481580006337026
97,0.0003453640001680469
107,0.00040647499918122776
117,0.0004250530000717845
129,0.0004756179987452924
142,0.0005923930002609268
156,0.0006678909994661808
172,0.0006822089999332093
189,0.0007581259997095913
208,0.0008862140002747765
229,0.0009608050004317192
252,0.0011562209983821958
277,0.001173750999441836
304,0.001293458999498398
335,0.0014438969992625061
368,0.0015916800002742093
405,0.0017801110006985255
446,0.0022203209991857875
490,0.0023275959993043216
539,0.0026029809996543918
593,0.002858388999811723
653,0.0032357420004700543
718,0.003915086999768391
790,0.003936527999030659
869,0.004301726999983657
956,0.004996507999749156
1051,0.005537148999792407
1156,0.006066334999559331
1272,0.006685547001325176
1399,0.007521197001551627
1539,0.00841174100060016
1693,0.009316744000898325
1862,0.010646589000316453
1,6.2159997469279915e-06
1,1.956001142389141e-06
1,2.3749998945277184e-06
1,1.4659999578725547e-06
1,3.351999112055637e-06
2,1.459700069972314e-05
2,6.6350003180559725e-06
2,8.450000677839853e-06
2,5.238000085228123e-06
2,6.145999577711336e-06
3,1.3759001376456581e-05
3,1.0825999197550118e-05
3,1.1314999937894754e-05
3,8.4509993030224e-06
4,1.8368999008089304e-05
4,1.2431999493855983e-05
5,1.8159000319428742e-05
5,1.627300116524566e-05
6,2.472400046826806e-05
6,1.89969996426953e-05
7,2.3466998754884116e-05
7,2.2488999093184248e-05
8,3.149900112475734e-05
9,3.471099989837967e-05
10,3.5340000977157615e-05
11,4.190499930700753e-05
12,4.2813000618480146e-05
13,5.76189995626919e-05
14,5.105399941385258e-05
16,5.5593000070075504e-05
17,6.718700024066493e-05
19,6.886300070618745e-05
21,9.917399984260555e-05
23,8.087599962891545e-05
26,8.527600039087702e-05
28,9.463400056120008e-05
31,0.00010594899868010543
34,0.00011977800022577867
37,0.00013702799878956284
41,0.00016258999858109746
45,0.00017160000061267056
50,0.00018123800145986024
55,0.00019820899979094975
60,0.00021622800159093458
66,0.00025282500064349733
73,0.00026693300060287584
80,0.00030345999948622193
88,0.0003369839996594237
97,0.0003990719997091219
107,0.000422538998464006
117,0.0004962910006724996
129,0.0005385450003814185
142,0.0005289069995342288
156,0.0005922540003666654
172,0.0006562979997397633
189,0.0007589640008518472
208,0.0008223100012401119
229,0.0010452429996803403
252,0.0011603419989114627
277,0.0011680229999910807
304,0.0013100110008963384
335,0.0014392169996426674
368,0.0016665500006638467
405,0.0018800540001393529
446,0.002049978000286501
490,0.0022351970001182053
539,0.002499406000424642
593,0.0028060790009476477
653,0.003113589000349748
718,0.0034782310012815287
790,0.0038894550016266294
869,0.004400832000101218
956,0.004968571000063093
1051,0.005393554998590844
1156,0.0060156300005473895
1272,0.0066752799993992085
1399,0.007823050000297371
1539,0.008336872000654694
1693,0.009301447998950607
1862,0.010684791999665322
1,4.818999514100142e-06
1,2.3749998945277184e-06
1,1.8860009731724858e-06
1,2.3740012693451717e-06
1,1.3970002328278497e-06
2,9.638000847189687e-06
2,4.887999239144847e-06
2,6.145999577711336e-06
2,6.145999577711336e-06
2,1.5224999515339732e-05
3,8.241000614361838e-06
3,3.219700010959059e-05
3,8.520999472239055e-06
3,1.0965000910800882e-05
4,1.1104000805062242e-05
4,1.1454001651145518e-05
5,1.669200173637364e-05
5,1.634299951547291e-05
6,1.9484999938867986e-05
6,1.955600055225659e-05
7,2.1021998691139743e-05
7,2.5702000129967928e-05
8,2.8286000087973662e-05
9,3.0031998903723434e-05
10,3.855199975077994e-05
11,4.00890003220411e-05
12,4.455899943422992e-05
13,4.6863000534358434e-05
14,6.04819997533923e-05
16,6.348600072669797e-05
17,6.669799950032029e-05
