n,t
1,4.749999789055437e-06
1,4.260999048710801e-06
1,4.260000423528254e-06
1,4.888999683316797e-06
1,4.74900116387289e-06
2,3.7009995139669627e-06
2,6.285999916144647e-06
2,4.818999514100142e-06
2,4.818999514100142e-06
2,4.749999789055437e-06
3,4.679000994656235e-06
3,5.726999006583355e-06
3,8.938999599195085e-06
3,6.075999408494681e-06
4,7.054000889183953e-06
4,6.2159997469279915e-06
5,1.5154999346123077e-05
5,6.145999577711336e-06
6,1.6831001630635e-05
6,9.567998858983628e-06
7,1.2780999895767309e-05
7,1.1453999832156114e-05
8,1.040700044541154e-05
9,1.1314001312712207e-05
10,1.8926999473478645e-05
11,2.7587000658968464e-05
12,3.247600034228526e-05
13,2.814599974954035e-05
14,3.827299951808527e-05
16,4.0019000152824447e-05
17,4.134599839744624e-05
19,4.0996999814524315e-05
21,5.2938999942853115e-05
23,6.725699859089218e-05
26,6.753599882358685e-05
28,7.717399967077654e-05
31,8.702199920662679e-05
34,7.912999899417628e-05
37,8.206300117308274e-05
41,0.0001250850000360515
45,0.00011893900045834016
50,0.00011775199891417287
55,0.00013151100029062945
60,0.00017886400019051507
66,0.00016838700139487628
73,0.0001885009987745434
80,0.00021587900118902326
88,0.0002613460001157364
97,0.0003357269997650292
107,0.00032203799855778925
117,0.0003617069996835198
129,0.00039551100053358823
142,0.0004298730000300566
156,0.0004918209997413214
172,0.0006009129992889939
189,0.0006287109990807949
208,0.0006688690009468701
229,0.0007624560003023362
252,0.0008258719990408281
277,0.0009136620010394836
304,0.001010113001029822
335,0.001216284001202439
368,0.0013524039986805292
405,0.001578060999236186
446,0.001641966000534012
490,0.0018161500011046883
539,0.002067438999802107
593,0.0024674190008227015
653,0.0026177170002483763
718,0.0030120400006126147
790,0.0030836280002404237
869,0.003416980000110925
956,0.0037365730004239595
1051,0.004175733998636133
1156,0.004756324000481982
1272,0.005257015998722636
1399,0.00612011200064444
1539,0.006878237998535042
1693,0.007683506999455858
1862,0.008390299999518902
1,5.657000656356104e-06
1,4.818999514100142e-06
1,4.74900116387289e-06
1,4.6789991756668314e-06
1,2.4439996195724234e-06
2,6.145999577711336e-06
2,4.679999619838782e-06
2,4.330000592744909e-06
2,4.888999683316797e-06
2,4.260999048710801e-06
3,5.238000085228123e-06
3,6.214999302756041e-06
3,6.6350003180559725e-06
3,4.818999514100142e-06
4,9.359000614495017e-06
4,6.565000148839317e-06
5,9.357998351333663e-06
5,1.5645000530639663e-05
6,9.010000212583691e-06
6,9.638000847189687e-06
7,1.1873000403284095e-05
7,1.0616000508889556e-05
8,8.520999472239055e-06
9,1.2991000403417274e-05
10,1.292100023420062e-05
11,3.198700142093003e-05
12,3.72260001313407e-05
13,3.121900044789072e-05
14,2.7097999918623827e-05
16,3.86219999199966e-05
17,2.926399974967353e-05
19,4.246400021656882e-05
21,5.300900011206977e-05
