n,t
1,4.259999968780903e-06
1,2.793000021483749e-06
1,2.4440000743197743e-06
1,2.373999905103119e-06
1,2.3749998945277184e-06
2,4.8880001486395486e-06
2,4.749000027004513e-06
2,4.749000027004513e-06
2,4.750000016429112e-06
2,4.329999910623883e-06
3,4.819000196221168e-06
3,4.679999847212457e-06
3,4.818999968847493e-06
3,4.678999857787858e-06
4,4.819000196221168e-06
4,4.749000027004513e-06
5,5.1679999160114676e-06
5,4.749000027004513e-06
6,5.238000085228123e-06
6,5.238000085228123e-06
7,6.285000154093723e-06
7,5.587000032392098e-06
8,7.5430000379128614e-06
9,9.638000165068661e-06
10,9.079999927052995e-06
11,8.660000048621441e-06
12,1.243200017597701e-05
13,1.3269999953990919e-05
14,1.7250999917450827e-05
16,1.9485999928292586e-05
17,1.7739999975674436e-05
19,2.088299993374676e-05
21,2.465400007167773e-05
23,3.72250001419161e-05
26,4.798099985237059e-05
28,4.986699991604837e-05
31,5.859699990651279e-05
34,7.626700016771792e-05
37,7.857099990360439e-05
41,0.00010259700002279715
45,0.00012257200000931334
50,0.00013744700004281185
55,0.00013367600013225456
60,0.00019492700016598974
66,0.00022810200016465387
73,0.00023948599982759333
80,0.00032266700009131455
88,0.00037134500007596216
97,0.0004981770000540564
107,0.0005355419998522848
117,0.000602240999796777
129,0.0007721639999545005
142,0.0009595470000931527
156,0.001160970000000816
172,0.001416657999925519
189,0.0016726960000141844
208,0.0020404090000738506
229,0.002354624999952648
252,0.003044725999870934
277,0.003553658000100768
304,0.004233003000081226
335,0.00534487300001274
368,0.00687069400009932
405,0.007926063000013528
446,0.010057335999817951
490,0.012236590000156866
539,0.014812819999860949
593,0.018451404999950682
653,0.023084108000148262
718,0.028253891000076692
790,0.03665780699998322
869,0.0429436510000869
956,0.05081935900011558
1051,0.0641782959999091
1156,0.07772133500020573
1272,0.09656678300007115
1399,0.11718619800012675
1539,0.13907357800007958
1693,0.1681860260000576
1862,0.20582901199986736
1,4.750000016429112e-06
1,1.9550000160961645e-06
1,2.305000180058414e-06
1,2.373999905103119e-06
1,1.886000063677784e-06
2,4.749000027004513e-06
2,4.749000027004513e-06
2,4.818999968847493e-06
2,4.678999857787858e-06
2,4.329999910623883e-06
3,4.679000085161533e-06
3,4.678999857787858e-06
3,4.400000079840538e-06
3,2.0113999880777556e-05
4,4.679000085161533e-06
4,4.400000079840538e-06
5,4.6800000745861325e-06
5,4.818999968847493e-06
6,6.146000032458687e-06
6,5.656999974235077e-06
7,5.867000027137692e-06
7,6.705000032525277e-06
8,6.6349998633086216e-06
9,9.149000106845051e-06
10,9.567999995852006e-06
11,1.047599994308257e-05
12,1.3339000133782974e-05
13,1.4387999954124098e-05
14,1.2011999842798105e-05
16,1.9973999997091596e-05
17,2.2070000113671995e-05
19,2.409500007161114e-05
21,2.374599989707349e-05
23,3.673700007311709e-05
26,4.141600015827862e-05
28,4.616499995790946e-05
31,5.140300004313758e-05
34,8.297099998344493e-05
37,6.823499984420778e-05
41,8.590400011598831e-05
45,0.00012075499989805394
50,0.00012117500000385917
55,0.00015763100009280606
60,0.00017669799990471802
66,0.00022153600002638996
73,0.0002385069999490952
80,0.00030960599997342797
88,0.00034529499998825486
97,0.00046989099996608275
107,0.0004992250001123466
117,0.0006634910000684613
129,0.0006876560000819154
142,0.0009073759999864706
156,0.0011189949998424709
172,0.0013155279998500191
189,0.0015768739999657555
208,0.002063178000071275
229,0.0023308790000555746
252,0.0032309219998296612
277,0.0034354160000020784
304,0.0044946279999749095
335,0.005560893000165379
368,0.007064223000043057
405,0.007904063000069073
446,0.010280268999849795
490,0.0127814899999521
539,0.015691072999970856
593,0.01938846400003058
653,0.02343282599986196
718,0.028637388000106512
790,0.03370066299999053
869,0.04399357399984183
956,0.05477942199991048
1051,0.07328942399999505
1156,0.07854385300015565
1272,0.09600379400012571
1399,0.11751102899984289
1539,0.1444015509998735
1693,0.16973049300008825
1862,0.2072633399998267
