n,t
1,4.748999344883487e-06
1,4.679999619838782e-06
1,4.748999344883487e-06
1,4.818999514100142e-06
1,4.329998773755506e-06
2,4.330000592744909e-06
2,4.74900116387289e-06
2,4.260999048710801e-06
2,3.2819989428389817e-06
2,3.840999852400273e-06
3,6.1470000218832865e-06
3,6.145999577711336e-06
3,5.727000825572759e-06
3,2.7940004656556994e-06
4,5.308000254444778e-06
4,4.329998773755506e-06
5,4.330000592744909e-06
5,6.145999577711336e-06
6,6.2849994719726965e-06
6,1.585400059411768e-05
7,1.4037999790161848e-05
7,1.4317000022856519e-05
8,1.4387000192073174e-05
9,1.529500150354579e-05
10,1.75300010596402e-05
11,2.0044000848429278e-05
12,1.955500010808464e-05
13,1.927700031956192e-05
14,2.3815999156795442e-05
16,3.568899956007954e-05
17,2.472300002409611e-05
19,3.918100082955789e-05
21,4.246400021656882e-05
23,6.020299952069763e-05
26,5.7130000641336665e-05
28,6.243800089578144e-05
31,6.153000140329823e-05
34,8.492699998896569e-05
37,9.198100087814964e-05
41,8.387900015804917e-05
45,9.882499944069423e-05
50,0.00012201299978187308
55,0.0001336759996775072
60,0.00017334500080323778
66,0.00017013300021062605
73,0.00018102899957739282
80,0.00021113000002515037
88,0.00024940299954323564
97,0.00026560600053926464
107,0.00032385299891757313
117,0.00033244400037801825
129,0.00039872299930721056
142,0.0003931360006390605
156,0.00042435499926796183
172,0.0005608940009551588
189,0.0006097829991631443
208,0.0006668440000794362
229,0.0007368240003415849
252,0.0008166520001395838
277,0.000906328999917605
304,0.0009960749994206708
335,0.001160689998869202
368,0.0013619729998026742
405,0.001477838999562664
446,0.0016305819990520831
490,0.001826416999392677
539,0.0020033250002597924
593,0.0022613170003751293
653,0.0026359459989180323
718,0.003076364000662579
790,0.003201728999556508
869,0.0035357789984118426
956,0.00385243899836496
1051,0.004313739998906385
1156,0.004823650999242091
1272,0.005435598999611102
1399,0.0064137250010389835
1539,0.007164657999965129
1693,0.0078379259994108
1862,0.008517062000464648
1,6.774998837499879e-06
1,4.260999048710801e-06
1,4.260999048710801e-06
1,4.748999344883487e-06
1,2.793000021483749e-06
2,4.818999514100142e-06
2,4.260000423528254e-06
2,4.748999344883487e-06
2,4.75000160804484e-06
2,4.260000423528254e-06
3,4.818999514100142e-06
3,3.911000021616928e-06
3,4.749999789055437e-06
3,4.748999344883487e-06
4,6.355001460178755e-06
4,4.74900116387289e-06
5,6.633999873884022e-06
5,7.263000952661969e-06
6,6.774000212317333e-06
6,7.472999641322531e-06
7,8.451001122011803e-06
7,7.612999979755841e-06
8,9.638000847189687e-06
9,8.73099997988902e-06
10,1.0196999937761575e-05
11,2.011399919865653e-05
12,1.7460000890423544e-05
13,1.857799907156732e-05
14,2.1579999156529084e-05
16,2.2908001483301632e-05
17,1.871699896582868e-05
19,2.9821998396073468e-05
21,3.2406000173068605e-05
23,4.3791000280180015e-05
26,4.6445000407402404e-05
28,5.3498999477596954e-05
31,5.8177998653263785e-05
34,7.200599975476507e-05
37,6.802600000810344e-05
41,7.487000038963743e-05
45,0.00010664699948392808
50,0.00010657799975888338
55,0.00011384099889255594
60,0.0001264120000996627
66,0.00013744699936069082
73,0.00015811999946890865
80,0.000170971001352882
88,0.00022872899899084587
97,0.0002475870005582692
107,0.0002934720014309278
117,0.0002878859995689709
129,0.00033621499824221246
142,0.0003705079998326255
156,0.0004259609995642677
172,0.0005030660013289889
189,0.0005459479998535244
208,0.0006164879996504169
229,0.0006838839999545598
252,0.0007505829998990521
277,0.0008505259993398795
304,0.0009388050002598902
335,0.0011485390004963847
368,0.001293248998990748
405,0.0014128170005278662
446,0.0015470519992959453
490,0.0017278710001846775
539,0.0019300610001664609
593,0.0020924410000588978
653,0.0023813049992895685
718,0.002820745999997598
790,0.003100320000157808
869,0.0034517599997343495
956,0.0038861729990458116
1051,0.004218267000396736
1156,0.004689694998887717
1272,0.005245701000603731
1399,0.0062519029997929465
1539,0.007168427999204141
1693,0.0077457360002881614
1862,0.008429829998931382
