n,t
1,4.769000042870175e-06
1,5.209994924371131e-07
1,4.809999154531397e-07
1,4.90999809699133e-07
1,4.3100044422317296e-07
2,1.1702000847435556e-05
2,3.105999894614797e-06
2,2.7149999368702993e-06
2,2.4949995349743403e-06
2,2.444999154249672e-06
3,6.933000804565381e-06
3,4.0979994082590565e-06
3,3.908000508090481e-06
3,4.497999725572299e-06
4,6.893000318086706e-06
4,6.182000106491614e-06
5,9.487999705015682e-06
5,9.037000381795224e-06
6,1.0318999557057396e-05
6,1.1662000360956881e-05
7,1.372600036120275e-05
7,1.3204999959270936e-05
8,1.579000036144862e-05
9,2.011700053117238e-05
10,2.1159999960218556e-05
11,2.447600036248332e-05
12,2.7351000426278915e-05
13,6.078400019760011e-05
14,3.4034000236715656e-05
16,3.8842999856569804e-05
17,4.273000013199635e-05
19,4.76100003652391e-05
21,5.4983000154607e-05
23,5.989300007058773e-05
26,6.927000049472554e-05
28,7.714399998803856e-05
31,8.760399941820651e-05
34,0.00011637799980235286
37,0.00011827199978142744
41,0.00012481399971875362
45,0.00013788900014333194
50,0.00015979999989212956
55,0.00018611899940879084
60,0.0001968180004041642
66,0.00021970200032228604
73,0.0002600069992695353
80,0.0002783410000120057
88,0.0003107430002273759
97,0.00036123700010648463
107,0.0003878269999404438
117,0.0004348149996076245
129,0.0004990950001229066
142,0.000558296000235714
156,0.0006188689994814922
172,0.0007146489997467143
189,0.0007758029996693949
208,0.0009570829997755936
229,0.0010401489998912439
252,0.001078560000678408
277,0.001225355999849853
304,0.0014056439995329129
335,0.0015128449995245319
368,0.0017095930006689741
405,0.0018439049999869894
446,0.00212706500042259
490,0.0023286830000870395
539,0.002618506000544585
593,0.002881518000322103
653,0.0032059269997262163
718,0.0035880929999621003
790,0.003996378000010736
869,0.00458132400035538
956,0.00525162900066789
1051,0.005579413000305067
1156,0.006322244999864779
1272,0.006986821000282362
1399,0.007899169999291189
1539,0.008565677999285981
1693,0.009862046999842278
1862,0.01140226299958158
